Episode,Score,Best Score,Average Score,Time Steps,Learning Steps,Game-win,Game win rate
0,-241.24552411722726,-241.24552411722726,-241.24552411722726,103,0,0,0.0
1,-64.94825309922383,-64.94825309922383,-153.09688860822556,178,0,0,0.0
2,-192.21214871116464,-64.94825309922383,-166.13530864253858,253,0,0,0.0
3,-63.167594851437016,-63.167594851437016,-140.39338019476318,345,0,0,0.0
4,-286.7664487597169,-63.167594851437016,-169.66799390775392,413,0,0,0.0
5,-138.14548047906806,-63.167594851437016,-164.4142416696396,458,0,0,0.0
6,-252.71824723847362,-63.167594851437016,-177.0290996080445,525,0,0,0.0
7,-172.32783802494686,-63.167594851437016,-176.4414419101573,559,0,0,0.0
8,-115.18087647957601,-63.167594851437016,-169.63471241787047,617,0,0,0.0
9,-159.46494541071618,-63.167594851437016,-168.61773571715506,678,0,0,0.0
10,-120.32676959324749,-63.167594851437016,-164.2276478877089,716,0,0,0.0
11,-82.0297854755142,-63.167594851437016,-157.37782602002602,777,0,0,0.0
12,-94.4377147866714,-63.167594851437016,-152.53627900207567,809,0,0,0.0
13,-110.19383800990984,-63.167594851437016,-149.5118189312067,844,0,0,0.0
14,-159.98087226753648,-63.167594851437016,-150.20975582029536,936,0,0,0.0
15,-218.369842562864,-63.167594851437016,-154.46976124170584,985,0,0,0.0
16,277.7995575809399,277.7995575809399,-129.04215425213843,1074,0,1,0.02
17,-138.55249936300004,277.7995575809399,-129.57050675829743,1110,0,0,0.02
18,-164.37221770106828,277.7995575809399,-131.40217575528536,1166,0,0,0.02
19,-145.71409746168192,277.7995575809399,-132.11777184060517,1230,0,0,0.0
20,-178.2896789242605,277.7995575809399,-134.316434082684,1282,0,0,0.0
21,-92.47965788428195,277.7995575809399,-132.4147624373021,1338,0,0,0.0
22,-212.76276799699514,277.7995575809399,-135.9081539833757,1394,0,0,0.0
23,-154.67849790112552,277.7995575809399,-136.69025164661528,1509,0,0,0.0
24,-256.29409057547053,277.7995575809399,-141.4744052037695,1556,0,0,0.0
25,-207.61779025515224,277.7995575809399,-144.0183815518996,1598,0,0,0.0
26,-153.27467070708644,277.7995575809399,-144.36120707616578,1636,0,0,0.0
27,-293.510599132567,277.7995575809399,-149.68797107818008,1712,0,0,0.0
28,-155.16123554242176,277.7995575809399,-149.87670433556772,1760,0,0,0.0
29,-102.25664153609704,277.7995575809399,-148.2893689089187,1841,0,0,0.0
30,-103.0418849335653,277.7995575809399,-146.82977265164925,1914,0,0,0.0
31,-163.54453728928806,277.7995575809399,-147.3521090465755,1976,0,0,0.0
32,-105.7255104921284,277.7995575809399,-146.09069696916802,2050,1,0,0.0
33,-199.35111701732058,277.7995575809399,-147.65717991176075,2090,1,0,0.0
34,-102.61280622808553,277.7995575809399,-146.3701978065129,2117,1,0,0.0
35,-117.04114352963833,277.7995575809399,-145.55550185437747,2151,1,0,0.0
36,-97.08634485649982,277.7995575809399,-144.24552463821863,2255,1,0,0.0
37,-167.3888074839213,277.7995575809399,-144.85455839731605,2300,1,0,0.0
38,-146.4959227382613,277.7995575809399,-144.8966446624685,2326,1,0,0.0
39,-198.78013684702765,277.7995575809399,-146.24373196708248,2374,1,0,0.0
40,-304.9127945980447,277.7995575809399,-150.113709104423,2462,1,0,0.0
41,-126.35764123909053,277.7995575809399,-149.54808844096272,2516,1,0,0.0
42,-168.3963582183727,277.7995575809399,-149.9864202962513,2601,1,0,0.0
43,-158.26777993674264,277.7995575809399,-150.17463301535338,2682,1,0,0.0
44,-263.5968154712248,277.7995575809399,-152.6951259588172,2735,1,0,0.0
45,-91.65434428624754,277.7995575809399,-151.3681524441961,2796,1,0,0.0
46,-74.07157949921515,277.7995575809399,-149.7235445091965,2863,1,0,0.0
47,-56.83159281282913,277.7995575809399,-147.7882955155222,2938,1,0,0.0
48,-229.8402122083166,277.7995575809399,-149.46282442762003,2980,1,0,0.0
49,-132.96489024266452,277.7995575809399,-149.13286574392092,3117,1,0,0.0
50,-150.38587176768465,277.7995575809399,-149.15743448948493,3179,1,0,0.0
51,-123.26618871627257,277.7995575809399,-148.65952591692314,3238,1,0,0.0
52,-236.61759125207254,277.7995575809399,-150.31911205532217,3289,1,0,0.0
53,-104.2861748597943,277.7995575809399,-149.466650255405,3372,1,0,0.0
54,-177.7858411596361,277.7995575809399,-149.98154463548192,3434,1,0,0.0
55,-124.43474624740217,277.7995575809399,-149.52535180712337,3551,1,0,0.0
56,-89.84414845361474,277.7995575809399,-148.47831315179866,3607,1,0,0.0
57,-139.8046643155795,277.7995575809399,-148.32876748220866,3655,1,0,0.0
58,-175.28860470679575,277.7995575809399,-148.78571387584572,3693,1,0,0.0
59,-143.49891244122608,277.7995575809399,-148.69760051860206,3723,1,0,0.0
60,-127.69566607667137,277.7995575809399,-148.3533065113573,3789,1,0,0.0
61,-251.18392711772148,277.7995575809399,-150.01186490823414,3852,1,0,0.0
62,-168.05922771322855,277.7995575809399,-150.2983309845039,3932,1,0,0.0
63,-75.08926346703339,277.7995575809399,-149.12318930454344,3988,1,0,0.0
64,-110.75816823864479,277.7995575809399,-148.5329582112219,4019,1,0,0.0
65,-195.33928190943715,277.7995575809399,-149.24214493392216,4074,1,0,0.0
66,-37.86265456146539,277.7995575809399,-147.5797644806019,4194,2,0,0.0
67,-194.6412949189894,277.7995575809399,-148.27184581057818,4279,2,0,0.0
68,-46.634727499798515,277.7995575809399,-146.7988440959292,4334,2,0,0.0
69,-171.6631597280333,277.7995575809399,-147.15404860495929,4395,2,0,0.0
70,-285.7683313093464,277.7995575809399,-149.10636244586613,4461,2,0,0.0
71,-190.8764806106663,277.7995575809399,-149.6865029759328,4546,2,0,0.0
72,-84.34423314802453,277.7995575809399,-148.79140338924913,5548,2,0,0.0
73,-169.10815143066532,277.7995575809399,-149.06595403845745,5581,2,0,0.0
74,-272.4378924317416,277.7995575809399,-150.7109132170346,5640,2,0,0.0
75,-170.29857391066926,277.7995575809399,-150.96864559458243,5670,2,0,0.0
76,-189.44482366801424,277.7995575809399,-151.4683362189127,5705,2,0,0.0
77,-168.79835131728825,277.7995575809399,-151.6905158996611,5745,2,0,0.0
78,-114.68183062769216,277.7995575809399,-151.22205152912986,5808,2,0,0.0
79,-177.44820162796196,277.7995575809399,-151.54987840536523,5837,2,0,0.0
80,-170.2269486264462,277.7995575809399,-151.78045951920575,5903,2,0,0.0
81,-129.0760737291954,277.7995575809399,-151.50357676566904,5964,2,0,0.0
82,-250.33861889799172,277.7995575809399,-152.6943604058175,6019,2,0,0.0
83,-69.6067412740914,277.7995575809399,-151.70522208282077,6096,2,0,0.0
84,-226.04821563353022,277.7995575809399,-152.57984553635853,6204,3,0,0.0
85,-242.07244278178027,277.7995575809399,-153.62045713223552,6259,3,0,0.0
86,-134.34114370408463,277.7995575809399,-153.39885582846367,6317,3,0,0.0
87,-193.17586062076543,277.7995575809399,-153.850867246558,6364,3,0,0.0
88,-132.38849871930378,277.7995575809399,-153.6097170383866,6427,3,0,0.0
89,-147.58470619473005,277.7995575809399,-153.5427724734571,6466,3,0,0.0
90,6.002499306728737,277.7995575809399,-151.78952772861987,6515,3,0,0.0
91,13.323518140190249,277.7995575809399,-149.99482070830672,6595,3,1,0.01
92,-157.00895925403546,277.7995575809399,-150.07024155288443,6655,3,0,0.01
93,-173.28290355541827,277.7995575809399,-150.31718476567735,6717,3,0,0.0
94,-117.78350608100979,277.7995575809399,-149.97472499004928,6776,3,0,0.0
95,-243.77080290551697,277.7995575809399,-150.95176746833542,6828,3,0,0.0
96,-146.890949543935,277.7995575809399,-150.909903366022,6898,3,0,0.0
97,-156.88479034102798,277.7995575809399,-150.97087160046084,6959,3,0,0.0
98,-147.41327408780944,277.7995575809399,-150.93493627205024,7036,3,0,0.0
99,-127.04243110369167,277.7995575809399,-150.69601122036664,7095,3,0,0.0
